<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20060110,000000,1128.2000000,1192.9000000,1128.2000000,1190.3400000,0
20060111,000000,1190.0400000,1216.9200000,1188.8600000,1216.6600000,0
20060112,000000,1216.9600000,1261.4200000,1216.9600000,1255.9200000,0
20060113,000000,1255.6500000,1261.4500000,1234.1000000,1239.7600000,0
20060116,000000,1240.0500000,1277.2600000,1240.0500000,1276.9000000,0
20060117,000000,1277.7900000,1292.3000000,1246.6100000,1253.5800000,0
20060118,000000,1252.9100000,1252.9100000,1219.7900000,1235.0100000,0
20060119,000000,1233.0100000,1278.2800000,1225.6600000,1278.2800000,0
20060120,000000,1278.9300000,1305.9600000,1278.9300000,1304.5300000,0
20060123,000000,1304.2800000,1305.8200000,1289.0200000,1295.3900000,0
20060124,000000,1296.2000000,1308.0200000,1296.2000000,1307.0500000,0
20060125,000000,1307.0500000,1325.8200000,1307.0500000,1324.6500000,0
20060126,000000,1324.3700000,1340.3300000,1323.0100000,1337.8200000,0
20060127,000000,1338.6300000,1373.2200000,1338.6300000,1373.2200000,0
20060130,000000,1374.0000000,1376.4300000,1331.5900000,1332.2700000,0
20060131,000000,1334.0400000,1346.4600000,1314.7500000,1315.9600000,0
20060201,000000,1316.0100000,1340.0200000,1308.9500000,1339.5700000,0
20060202,000000,1339.7900000,1342.1800000,1334.1400000,1334.8500000,0
20060203,000000,1334.1300000,1334.1300000,1307.8800000,1308.1300000,0
20060206,000000,1308.4500000,1332.4400000,1308.4500000,1325.2700000,0
20060207,000000,1325.4800000,1335.0100000,1322.9600000,1330.6400000,0
20060208,000000,1330.1600000,1335.4000000,1312.0600000,1335.1900000,0
20060209,000000,1336.4600000,1367.4700000,1336.4600000,1366.3700000,0
20060210,000000,1367.0800000,1370.0600000,1360.3600000,1365.2600000,0
20060213,000000,1363.6500000,1369.7200000,1357.5200000,1365.2400000,0
20060214,000000,1365.1100000,1383.2200000,1362.3700000,1367.9100000,0
20060215,000000,1368.9200000,1375.1000000,1355.1600000,1375.1000000,0
20060216,000000,1373.9200000,1386.7000000,1366.7000000,1381.5900000,0
20060217,000000,1382.4900000,1428.1400000,1382.4900000,1428.1400000,0
20060220,000000,1430.8700000,1459.4800000,1430.8700000,1459.4800000,0
20060221,000000,1459.9300000,1464.0000000,1444.3500000,1444.3500000,0
20060222,000000,1444.3800000,1466.4200000,1442.9400000,1465.6200000,0
20060226,000000,1465.6200000,1516.6600000,1465.6200000,1516.4600000,0
20060227,000000,1516.5900000,1531.2700000,1496.7800000,1516.9900000,0
20060228,000000,1515.1000000,1515.1000000,1451.5200000,1453.4400000,0
20060301,000000,1453.7000000,1465.6900000,1434.9500000,1450.8200000,0
20060302,000000,1452.9500000,1470.8200000,1452.9500000,1466.8700000,0
20060303,000000,1467.0000000,1497.1700000,1467.0000000,1487.1100000,0
20060306,000000,1487.2100000,1497.5200000,1479.6300000,1480.9000000,0
20060307,000000,1476.6800000,1476.6800000,1396.4800000,1396.4800000,0
20060309,000000,1393.2700000,1393.2700000,1350.1500000,1361.2800000,0
20060310,000000,1361.4000000,1365.7900000,1341.5900000,1351.2600000,0
20060313,000000,1353.6300000,1391.8000000,1353.0700000,1384.5800000,0
20060314,000000,1384.8500000,1405.0400000,1348.1600000,1360.3300000,0
20060315,000000,1363.9300000,1377.3800000,1359.9100000,1377.3300000,0
20060316,000000,1375.0900000,1383.9200000,1371.9800000,1381.7000000,0
20060317,000000,1381.3800000,1420.1000000,1381.3800000,1414.9200000,0
20060320,000000,1415.7100000,1425.8500000,1406.1400000,1408.5200000,0
20060321,000000,1408.1200000,1408.1200000,1394.5800000,1395.2400000,0
20060322,000000,1394.8800000,1408.8100000,1391.3900000,1408.8100000,0
20060323,000000,1408.9600000,1430.4800000,1408.9600000,1430.1800000,0
20060324,000000,1429.1700000,1429.5900000,1407.7800000,1420.2500000,0
20060327,000000,1420.7000000,1436.5700000,1420.7000000,1428.6900000,0
20060328,000000,1428.0800000,1428.7500000,1413.8000000,1414.7000000,0
20060329,000000,1414.5800000,1414.5800000,1390.2400000,1391.3100000,0
20060330,000000,1393.3200000,1431.2200000,1393.3200000,1431.2200000,0
20060331,000000,1431.0800000,1442.9100000,1431.0800000,1434.9900000,0
20060403,000000,1434.7300000,1451.0200000,1434.7300000,1450.8800000,0
20060404,000000,1451.2900000,1460.6900000,1451.0200000,1455.6700000,0
20060405,000000,1459.0100000,1485.4600000,1459.0100000,1485.2200000,0
20060406,000000,1485.6700000,1506.2400000,1485.6700000,1493.8400000,0
20060407,000000,1493.5200000,1525.8500000,1491.2500000,1523.1500000,0
20060410,000000,1523.9400000,1556.9200000,1519.2800000,1555.0600000,0
20060411,000000,1556.5600000,1582.5000000,1553.4900000,1553.6700000,0
20060412,000000,1552.6100000,1561.5700000,1535.4700000,1561.5700000,0
20060413,000000,1562.1000000,1569.7600000,1544.7500000,1545.5400000,0
20060414,000000,1547.1200000,1559.0300000,1546.0600000,1559.0300000,0
20060417,000000,1559.0300000,1582.7300000,1559.0300000,1582.7300000,0
20060418,000000,1583.7200000,1601.6700000,1583.7200000,1600.0100000,0
20060419,000000,1600.9700000,1622.1800000,1600.9700000,1615.0400000,0
20060420,000000,1615.1200000,1626.4400000,1614.0900000,1618.6400000,0
20060421,000000,1616.2400000,1617.5200000,1603.8100000,1617.5200000,0
20060424,000000,1618.6300000,1633.1000000,1618.6300000,1625.2100000,0
20060425,000000,1623.1300000,1633.1800000,1621.4700000,1627.5100000,0
20060426,000000,1627.6400000,1669.2400000,1627.6400000,1669.2400000,0
20060427,000000,1667.0900000,1690.3100000,1616.6600000,1626.0800000,0
20060428,000000,1624.1000000,1657.2800000,1621.7400000,1657.2800000,0
20060502,000000,1659.0100000,1716.7800000,1659.0100000,1716.6000000,0
20060503,000000,1716.6700000,1737.8700000,1716.6700000,1724.0300000,0
20060504,000000,1723.6600000,1739.6600000,1715.5200000,1739.6600000,0
20060505,000000,1740.7700000,1758.1900000,1740.7700000,1749.5200000,0
20060506,000000,1749.5200000,1765.3500000,1749.2100000,1765.3500000,0
20060510,000000,1767.4800000,1795.0000000,1738.6900000,1739.9200000,0
20060511,000000,1740.1900000,1761.3500000,1684.9800000,1723.9700000,0
20060512,000000,1723.9500000,1723.9500000,1680.8400000,1681.0700000,0
20060515,000000,1677.3500000,1680.9000000,1582.9800000,1589.4600000,0
20060516,000000,1586.8600000,1592.6600000,1530.3600000,1585.3500000,0
20060517,000000,1585.4800000,1614.0700000,1543.1200000,1543.2600000,0
20060518,000000,1536.9700000,1536.9700000,1477.5500000,1490.6400000,0
20060519,000000,1492.4400000,1510.5600000,1449.7500000,1449.7500000,0
20060522,000000,1448.8200000,1449.2200000,1315.1500000,1318.5000000,0
20060523,000000,1319.9600000,1408.2700000,1311.3200000,1407.4900000,0
20060524,000000,1407.4100000,1407.4100000,1354.1900000,1368.5000000,0
20060525,000000,1368.0700000,1425.8100000,1362.7400000,1424.9700000,0
