<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20060110,000000,113000.0000000,117840.0000000,113000.0000000,117300.0000000,7734
20060111,000000,117105.0000000,119260.0000000,116955.0000000,119160.0000000,14413
20060112,000000,119500.0000000,123600.0000000,119500.0000000,122800.0000000,7854
20060113,000000,122605.0000000,123500.0000000,120760.0000000,121500.0000000,17760
20060116,000000,121900.0000000,125550.0000000,121370.0000000,125550.0000000,18321
20060117,000000,126490.0000000,127200.0000000,121405.0000000,122170.0000000,26577
20060118,000000,121500.0000000,121500.0000000,117555.0000000,118500.0000000,13452
20060119,000000,118060.0000000,122690.0000000,117000.0000000,122690.0000000,19118
20060120,000000,124000.0000000,126000.0000000,123100.0000000,125400.0000000,17111
20060123,000000,125000.0000000,127455.0000000,124100.0000000,124550.0000000,22307
20060124,000000,125200.0000000,127530.0000000,125200.0000000,127400.0000000,16626
20060125,000000,127950.0000000,130750.0000000,127600.0000000,130200.0000000,12013
20060126,000000,129815.0000000,131400.0000000,128605.0000000,130515.0000000,23555
20060127,000000,130725.0000000,134200.0000000,130725.0000000,133910.0000000,24237
20060130,000000,134800.0000000,134800.0000000,127365.0000000,127680.0000000,21842
20060131,000000,128650.0000000,130900.0000000,124600.0000000,125750.0000000,25844
20060201,000000,125505.0000000,130850.0000000,124300.0000000,130700.0000000,23932
20060202,000000,130780.0000000,131425.0000000,128700.0000000,129000.0000000,22411
20060203,000000,128000.0000000,128400.0000000,126000.0000000,126700.0000000,36250
20060206,000000,127500.0000000,129800.0000000,127010.0000000,129210.0000000,32496
20060207,000000,128605.0000000,130000.0000000,127300.0000000,128755.0000000,31442
20060208,000000,126600.0000000,131000.0000000,126275.0000000,130900.0000000,41984
20060209,000000,131000.0000000,136195.0000000,130755.0000000,134900.0000000,29923
20060210,000000,135300.0000000,136940.0000000,133500.0000000,134600.0000000,28134
20060213,000000,132000.0000000,135050.0000000,132000.0000000,133995.0000000,27551
20060214,000000,134035.0000000,137000.0000000,133700.0000000,134900.0000000,19264
20060215,000000,134490.0000000,135550.0000000,132300.0000000,134830.0000000,23549
20060216,000000,135000.0000000,136875.0000000,134000.0000000,136850.0000000,22704
20060217,000000,136990.0000000,142295.0000000,136990.0000000,142150.0000000,17919
20060220,000000,142280.0000000,145800.0000000,142280.0000000,145780.0000000,17526
20060221,000000,146995.0000000,146995.0000000,141815.0000000,141885.0000000,28484
20060222,000000,141755.0000000,145990.0000000,141655.0000000,145850.0000000,22982
20060226,000000,154850.0000000,154850.0000000,147000.0000000,149470.0000000,21579
20060227,000000,150000.0000000,152190.0000000,147310.0000000,148510.0000000,31036
20060228,000000,148000.0000000,149200.0000000,141530.0000000,141800.0000000,21963
20060301,000000,142000.0000000,145090.0000000,139800.0000000,143950.0000000,31782
20060302,000000,145400.0000000,146270.0000000,142000.0000000,144800.0000000,32101
20060303,000000,145905.0000000,149200.0000000,145320.0000000,148215.0000000,31560
20060306,000000,148920.0000000,149900.0000000,147110.0000000,147445.0000000,24422
20060307,000000,146985.0000000,146985.0000000,137075.0000000,138300.0000000,38046
20060309,000000,134500.0000000,137015.0000000,134400.0000000,136000.0000000,36317
20060310,000000,136085.0000000,139395.0000000,133300.0000000,134980.0000000,11905
20060313,000000,136395.0000000,139000.0000000,135950.0000000,139000.0000000,16047
20060314,000000,140500.0000000,140550.0000000,133330.0000000,135505.0000000,17987
20060315,000000,136900.0000000,140360.0000000,136105.0000000,139805.0000000,26131
20060316,000000,139480.0000000,141290.0000000,138205.0000000,140430.0000000,28620
20060317,000000,141300.0000000,144725.0000000,140500.0000000,144310.0000000,30603
20060320,000000,144015.0000000,146995.0000000,142000.0000000,142555.0000000,36329
20060321,000000,141500.0000000,143105.0000000,140800.0000000,142250.0000000,36028
20060322,000000,142425.0000000,144350.0000000,141500.0000000,144350.0000000,23852
20060323,000000,144380.0000000,147200.0000000,144380.0000000,146585.0000000,29327
20060324,000000,146900.0000000,147150.0000000,142200.0000000,146300.0000000,25645
20060327,000000,146175.0000000,147500.0000000,145150.0000000,145250.0000000,34561
20060328,000000,145500.0000000,145900.0000000,142510.0000000,143615.0000000,26916
20060329,000000,142805.0000000,144250.0000000,140500.0000000,141190.0000000,26149
20060330,000000,141750.0000000,147000.0000000,141750.0000000,147000.0000000,39852
20060331,000000,146850.0000000,148550.0000000,146030.0000000,147140.0000000,36775
20060403,000000,147200.0000000,149550.0000000,146910.0000000,149400.0000000,28025
20060404,000000,149500.0000000,150650.0000000,147810.0000000,148600.0000000,26690
20060405,000000,149200.0000000,151645.0000000,148905.0000000,151400.0000000,25510
20060406,000000,152510.0000000,153545.0000000,151400.0000000,151850.0000000,26862
20060407,000000,151300.0000000,156800.0000000,150630.0000000,154850.0000000,22466
20060410,000000,154345.0000000,159150.0000000,154200.0000000,158900.0000000,21444
20060411,000000,160795.0000000,161600.0000000,156100.0000000,156110.0000000,32538
20060412,000000,155555.0000000,160235.0000000,153995.0000000,160235.0000000,32314
20060413,000000,160095.0000000,160900.0000000,155285.0000000,156555.0000000,40535
20060414,000000,158500.0000000,159600.0000000,157300.0000000,159000.0000000,16687
20060417,000000,160095.0000000,161430.0000000,159080.0000000,161300.0000000,19700
20060418,000000,161710.0000000,163380.0000000,161700.0000000,162505.0000000,31289
20060419,000000,164100.0000000,166400.0000000,161705.0000000,163500.0000000,35572
20060420,000000,164300.0000000,165035.0000000,161250.0000000,162155.0000000,44089
20060421,000000,161500.0000000,164180.0000000,160500.0000000,164100.0000000,32278
20060424,000000,164595.0000000,165100.0000000,163610.0000000,164200.0000000,34680
20060425,000000,163000.0000000,164820.0000000,162580.0000000,162780.0000000,29343
20060426,000000,163000.0000000,167785.0000000,163000.0000000,167300.0000000,23482
20060427,000000,167640.0000000,169700.0000000,160355.0000000,162780.0000000,40985
20060428,000000,161530.0000000,166700.0000000,161515.0000000,166665.0000000,34491
20060502,000000,168200.0000000,172210.0000000,168200.0000000,172150.0000000,24095
20060503,000000,173000.0000000,175375.0000000,171620.0000000,172255.0000000,41956
20060504,000000,171000.0000000,175555.0000000,170500.0000000,175555.0000000,29865
20060505,000000,175275.0000000,176400.0000000,172505.0000000,175100.0000000,35281
20060506,000000,174850.0000000,178400.0000000,170510.0000000,178400.0000000,4848
20060510,000000,178905.0000000,181190.0000000,172405.0000000,172650.0000000,31936
20060511,000000,175575.0000000,176495.0000000,167105.0000000,171505.0000000,31289
20060512,000000,169995.0000000,172000.0000000,167010.0000000,167800.0000000,44576
20060515,000000,165110.0000000,166000.0000000,158000.0000000,159750.0000000,52271
20060516,000000,159000.0000000,161800.0000000,152155.0000000,159895.0000000,44147
20060517,000000,161000.0000000,163880.0000000,152105.0000000,152705.0000000,42318
20060518,000000,150555.0000000,152745.0000000,145300.0000000,148995.0000000,65846
20060519,000000,149500.0000000,151550.0000000,142500.0000000,145950.0000000,44720
20060522,000000,144395.0000000,145000.0000000,131360.0000000,131910.0000000,36873
20060523,000000,138000.0000000,144455.0000000,128115.0000000,144455.0000000,50867
20060524,000000,144700.0000000,144700.0000000,133505.0000000,138600.0000000,36476
20060525,000000,138700.0000000,146000.0000000,135200.0000000,144650.0000000,46080
20060526,000000,147000.0000000,155600.0000000,147000.0000000,155000.0000000,45357
20060529,000000,158000.0000000,158000.0000000,148750.0000000,148750.0000000,47475
20060530,000000,148660.0000000,152740.0000000,146010.0000000,148800.0000000,54309
20060531,000000,147000.0000000,151850.0000000,142500.0000000,146300.0000000,51245
20060601,000000,147800.0000000,149200.0000000,144120.0000000,148150.0000000,39438
20060602,000000,149600.0000000,156365.0000000,149600.0000000,156365.0000000,40532
20060605,000000,157050.0000000,159500.0000000,154500.0000000,156850.0000000,54218
20060606,000000,153005.0000000,153005.0000000,145110.0000000,146500.0000000,63069
20060607,000000,147000.0000000,148400.0000000,139500.0000000,144650.0000000,52860
20060608,000000,140000.0000000,140000.0000000,132330.0000000,132330.0000000,42787
20060609,000000,135500.0000000,138775.0000000,133000.0000000,134900.0000000,30095
20060613,000000,128500.0000000,131000.0000000,122375.0000000,122500.0000000,17615
20060614,000000,120100.0000000,127400.0000000,118995.0000000,127100.0000000,51508
20060615,000000,129005.0000000,134695.0000000,129005.0000000,134550.0000000,38332
20060616,000000,138200.0000000,140500.0000000,129110.0000000,131500.0000000,32897
20060619,000000,131005.0000000,137300.0000000,130005.0000000,134905.0000000,30642
20060620,000000,132110.0000000,139005.0000000,130900.0000000,139000.0000000,32328
20060621,000000,138015.0000000,139300.0000000,134815.0000000,137805.0000000,28999
20060622,000000,141000.0000000,141500.0000000,134255.0000000,134750.0000000,25098
20060623,000000,134555.0000000,136490.0000000,131520.0000000,134300.0000000,26529
20060626,000000,135000.0000000,135200.0000000,132530.0000000,135200.0000000,24648
20060627,000000,136195.0000000,141900.0000000,134850.0000000,140950.0000000,44065
20060628,000000,139000.0000000,144200.0000000,138555.0000000,143950.0000000,41929
20060629,000000,145000.0000000,145750.0000000,141800.0000000,145300.0000000,33218
20060630,000000,150000.0000000,152565.0000000,149100.0000000,151375.0000000,32859
20060703,000000,152000.0000000,154900.0000000,151150.0000000,154900.0000000,43404
20060704,000000,154600.0000000,156600.0000000,152050.0000000,156205.0000000,27013
20060705,000000,155200.0000000,156050.0000000,148625.0000000,149600.0000000,30730
20060706,000000,150100.0000000,156490.0000000,149900.0000000,156155.0000000,64791
20060707,000000,155820.0000000,159420.0000000,153880.0000000,155500.0000000,39040
20060710,000000,155805.0000000,158400.0000000,153005.0000000,158300.0000000,31488
20060711,000000,157400.0000000,159590.0000000,156760.0000000,157400.0000000,42462
20060712,000000,158000.0000000,160290.0000000,155285.0000000,156085.0000000,38114
20060713,000000,154900.0000000,157000.0000000,146620.0000000,148110.0000000,48280
20060714,000000,146015.0000000,150325.0000000,143105.0000000,147000.0000000,36125
20060717,000000,145685.0000000,147100.0000000,142505.0000000,144110.0000000,40249
20060718,000000,143990.0000000,145850.0000000,140010.0000000,145100.0000000,46950
20060719,000000,145500.0000000,149600.0000000,143335.0000000,149500.0000000,41516
20060720,000000,150900.0000000,152445.0000000,149000.0000000,149385.0000000,48171
20060721,000000,148385.0000000,149900.0000000,146600.0000000,147600.0000000,48909
20060724,000000,146600.0000000,150690.0000000,146600.0000000,150690.0000000,34580
20060725,000000,151200.0000000,152350.0000000,148755.0000000,148755.0000000,39923
20060726,000000,150000.0000000,151850.0000000,149800.0000000,150400.0000000,38498
20060727,000000,151725.0000000,157000.0000000,151410.0000000,156980.0000000,30157
20060728,000000,155555.0000000,157290.0000000,152930.0000000,156950.0000000,28759
20060731,000000,158000.0000000,158500.0000000,154170.0000000,155400.0000000,43575
20060801,000000,156000.0000000,157890.0000000,153850.0000000,154600.0000000,36636
20060802,000000,155100.0000000,158500.0000000,154700.0000000,158300.0000000,34660
20060803,000000,159020.0000000,161950.0000000,158105.0000000,161950.0000000,40646
20060804,000000,163150.0000000,165940.0000000,160690.0000000,165500.0000000,19837
20060807,000000,161735.0000000,165400.0000000,160900.0000000,165100.0000000,31207
20060808,000000,166105.0000000,166185.0000000,161750.0000000,161995.0000000,32653
20060809,000000,161295.0000000,164990.0000000,161295.0000000,164260.0000000,31923
20060810,000000,163215.0000000,164400.0000000,162255.0000000,163400.0000000,33821
20060811,000000,163995.0000000,166825.0000000,163995.0000000,165410.0000000,21620
20060814,000000,165410.0000000,167600.0000000,164050.0000000,164200.0000000,27756
20060815,000000,164000.0000000,164900.0000000,161100.0000000,164730.0000000,27602
20060816,000000,165700.0000000,166000.0000000,163100.0000000,165000.0000000,22834
20060817,000000,165215.0000000,165495.0000000,162700.0000000,163005.0000000,33531
20060818,000000,163000.0000000,163950.0000000,156400.0000000,157725.0000000,32632
20060821,000000,158600.0000000,161950.0000000,158255.0000000,161490.0000000,29554
20060822,000000,162000.0000000,163800.0000000,161755.0000000,163695.0000000,27263
20060823,000000,163000.0000000,165075.0000000,162005.0000000,163600.0000000,26959
20060824,000000,162505.0000000,163895.0000000,161605.0000000,163100.0000000,27646
20060825,000000,163995.0000000,164995.0000000,162900.0000000,163310.0000000,24231
20060828,000000,162800.0000000,163900.0000000,162600.0000000,163405.0000000,15748
20060829,000000,163800.0000000,166200.0000000,163000.0000000,163370.0000000,19485
20060830,000000,164000.0000000,165045.0000000,163400.0000000,163740.0000000,22300
20060831,000000,164220.0000000,165250.0000000,162300.0000000,162505.0000000,33028
20060901,000000,163000.0000000,163450.0000000,161300.0000000,161340.0000000,22291
20060904,000000,163000.0000000,164000.0000000,161205.0000000,163000.0000000,20175
20060905,000000,162580.0000000,166690.0000000,162580.0000000,166375.0000000,21128
20060906,000000,166000.0000000,166290.0000000,162610.0000000,162700.0000000,29140
20060907,000000,161795.0000000,161795.0000000,156810.0000000,157350.0000000,23838
20060908,000000,156005.0000000,158835.0000000,156005.0000000,157670.0000000,23757
20060911,000000,156500.0000000,157000.0000000,151400.0000000,151695.0000000,9220
20060912,000000,153000.0000000,154400.0000000,152000.0000000,154400.0000000,15235
20060913,000000,153105.0000000,156550.0000000,152450.0000000,156295.0000000,13544
20060914,000000,156700.0000000,158900.0000000,155900.0000000,156895.0000000,18646
20060915,000000,155015.0000000,158435.0000000,155015.0000000,156415.0000000,34823
20060918,000000,157105.0000000,159790.0000000,156630.0000000,159000.0000000,26870
