<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20101201,000000,179.1200000,179.3200000,176.0000000,176.5100000,5429057
20101202,000000,176.8500000,177.4500000,173.9200000,176.5900000,5311017
20101203,000000,175.5000000,176.4000000,174.0500000,175.6100000,4616204
20101206,000000,175.5200000,178.4300000,174.6000000,178.0100000,5336281
20101207,000000,180.5100000,181.4700000,176.5700000,176.8100000,4881831
20101208,000000,177.4900000,178.1600000,175.2000000,176.2900000,3281611
20101209,000000,177.6500000,178.1100000,173.8000000,174.9100000,4411394
20101210,000000,174.7900000,175.9500000,173.3600000,175.6100000,3287333
20101213,000000,176.3300000,177.9400000,173.7300000,174.2500000,3817953
20101214,000000,174.2800000,175.7600000,173.0900000,173.9000000,3515421
20101215,000000,173.7200000,179.0000000,173.5909000,175.5700000,5403623
20101216,000000,175.5800000,178.3000000,175.0400000,178.0600000,3859613
20101217,000000,178.4100000,178.7500000,177.0200000,177.4800000,3865341
20101220,000000,179.0100000,183.9800000,178.0400000,183.2900000,7732467
20101221,000000,183.8700000,185.6500000,182.6001000,184.7500000,4934832
20101222,000000,185.0000000,185.4500000,184.1100000,184.7600000,2444826
20101223,000000,184.3400000,184.9800000,181.8905000,182.6100000,3079695
20101227,000000,182.2500000,183.1400000,180.4500000,182.1400000,2160035
20101228,000000,182.1100000,182.7700000,181.0500000,181.1100000,1697066
20101229,000000,181.8000000,184.3500000,180.4100000,183.3700000,3008652
20101230,000000,183.7000000,184.5500000,182.7600000,182.7600000,1862937
20101231,000000,181.9600000,182.3000000,179.5100000,179.9200000,3199104
20110103,000000,181.3700000,186.0000000,181.2100000,184.2200000,4954201
20110104,000000,186.1500000,187.6995000,183.7800000,185.0110000,4870545
20110105,000000,184.1000000,187.4500000,184.0700000,187.4100000,3263363
20110106,000000,186.4000000,187.4100000,185.2500000,185.8600000,3031985
20110107,000000,187.7600000,188.4500000,183.7400000,185.5000000,5039858
20110110,000000,185.0400000,185.2900000,182.5100000,184.6800000,3050280
20110111,000000,185.3600000,186.0000000,183.2100000,184.3400000,2593612
20110112,000000,185.2600000,185.3800000,183.3000000,184.0500000,2531932
20110113,000000,183.6000000,186.4500000,183.5100000,185.5300000,3092509
20110114,000000,185.5000000,188.9400000,184.9200000,188.7500000,3490853
20110118,000000,188.6400000,191.6000000,188.2500000,191.2500000,3631567
20110119,000000,190.9600000,191.0000000,186.2100000,186.8700000,3397123
20110120,000000,185.2900000,186.8500000,181.0000000,181.8400000,4874701
20110121,000000,183.0200000,183.2500000,176.8400000,177.4000000,6510400
20110124,000000,177.9500000,178.4900000,174.1475000,176.8500000,5369921
20110125,000000,175.5900000,176.7500000,174.2800000,176.6900000,4406733
20110126,000000,177.3600000,177.8900000,174.6300000,175.4000000,3443194
20110127,000000,177.4800000,185.0000000,177.3100000,184.5700000,9525846
20110128,000000,171.4700000,173.7100000,166.9000000,171.1300000,18470734
20110131,000000,170.2400000,171.4400000,167.4100000,169.6400000,6257402
20110201,000000,170.5100000,173.1000000,169.5100000,172.0800000,4873373
20110202,000000,171.4200000,175.2000000,170.8700000,173.6100000,4344340
20110203,000000,173.4300000,174.6700000,171.9500000,173.7100000,3538423
20110204,000000,173.9100000,177.1900000,173.7500000,175.8800000,4182350
20110207,000000,176.0700000,177.5500000,174.7700000,176.4300000,5076522
20110208,000000,176.6600000,183.1100000,176.5900000,183.0700000,7374173
20110209,000000,183.1500000,186.4700000,182.2600000,185.2900000,8015102
20110210,000000,184.3300000,187.2400000,183.6000000,186.2000000,5142442
20110211,000000,185.5619000,189.5000000,185.3700000,189.2500000,4258372
20110214,000000,189.2600000,191.4000000,188.3500000,190.4800000,3750618
20110215,000000,188.5700000,190.4900000,188.2500000,189.0300000,3730265
20110216,000000,189.7700000,190.0000000,186.3500000,186.6200000,4500387
20110217,000000,185.5300000,189.0900000,185.3100000,187.7500000,3288019
20110218,000000,187.5500000,188.5000000,185.1300000,186.6300000,3975189
20110222,000000,183.6000000,184.7200000,179.3200000,180.4600000,4974775
20110223,000000,180.2500000,181.1500000,174.3900000,176.6800000,5137293
20110224,000000,176.8600000,179.7500000,174.5600000,177.7500000,4439318
20110225,000000,178.9500000,180.7500000,177.1000000,177.2400000,3872308
20110228,000000,173.9800000,175.8900000,172.1500000,173.2800000,6196880
20110301,000000,174.0000000,174.0000000,168.6700000,169.4400000,5582384
20110302,000000,169.0900000,173.3000000,168.3500000,172.0100000,4996924
20110303,000000,173.9900000,174.4600000,172.0500000,172.7200000,3962487
20110304,000000,172.6200000,172.7500000,169.5100000,171.6100000,4654177
20110307,000000,171.6900000,172.0900000,166.2400000,169.0800000,5725122
20110308,000000,169.3900000,169.7100000,166.7200000,167.0000000,4040703
20110309,000000,166.5700000,169.7500000,163.9000000,169.0400000,6889767
20110310,000000,167.0100000,168.4700000,164.8200000,166.2000000,5782673
20110311,000000,165.2400000,169.2000000,164.1200000,168.0800000,4429619
20110314,000000,166.8500000,168.0800000,164.5700000,166.7800000,3822846
