<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20120518,000000,42.2700000,43.0000000,38.0000000,38.1820000,470820876
20120521,000000,36.5300000,36.6600000,33.0000000,34.0255000,155558610
20120522,000000,32.6600000,33.5900000,30.9400000,31.1100000,94691008
20120523,000000,31.3700000,32.5000000,31.3600000,32.0000000,66473588
20120524,000000,32.9800000,33.2100000,31.7700000,33.0200000,43645197
20120525,000000,32.9000000,32.9500000,31.1100000,31.8975000,35371589
20120529,000000,31.4600000,31.6900000,28.6500000,28.8200000,74780213
20120530,000000,28.7300000,29.5500000,27.8600000,28.1800000,54228391
20120531,000000,28.5600000,29.6700000,26.8300000,29.6700000,82460791
20120601,000000,28.9200000,29.1500000,27.3900000,27.7000000,38918266
20120604,000000,27.2200000,27.6500000,26.4400000,26.8900000,33675750
20120605,000000,26.7000000,27.7600000,25.7500000,25.8700000,41368226
20120606,000000,26.1200000,27.1700000,25.5200000,26.8000000,59977030
20120607,000000,27.0000000,27.3500000,26.1500000,26.2800000,25396006
20120608,000000,26.5700000,27.7600000,26.4400000,27.0701000,36661758
20120611,000000,27.1600000,28.0700000,26.8350000,27.0100000,27247562
20120612,000000,27.4800000,27.7700000,26.9600000,27.3800000,14737887
20120613,000000,27.6600000,28.1000000,27.1000000,27.2601000,16758484
20120614,000000,27.6500000,28.3200000,27.3800000,28.2950000,16233920
20120615,000000,28.5200000,30.1000000,28.3500000,29.9400000,30310325
20120618,000000,29.9400000,32.0800000,29.4100000,31.4100000,41914015
20120619,000000,31.5350000,32.1800000,30.7000000,31.9300000,28510900
20120620,000000,31.9200000,31.9288000,31.1500000,31.6000000,15028716
20120621,000000,31.6700000,32.5000000,31.5100000,31.8350000,21178581
20120622,000000,32.4100000,33.4500000,32.0600000,33.1900000,47609520
20120625,000000,32.8800000,33.0200000,31.5500000,32.0600000,23158159
20120626,000000,32.6900000,33.4400000,32.5000000,33.1000000,24080478
20120627,000000,32.4600000,32.9000000,31.9000000,32.2109000,26550775
20120628,000000,31.9600000,32.1900000,30.9000000,31.3500000,16819183
20120629,000000,31.9200000,31.9900000,30.7600000,31.1100000,18435768
20120702,000000,31.2300000,31.7300000,30.5500000,30.7800000,13557398
20120703,000000,30.9200000,31.4400000,30.8000000,31.2300000,8665081
20120705,000000,31.3200000,31.6250000,31.0200000,31.4700000,9403041
20120706,000000,31.4400000,31.9000000,31.2600000,31.7200000,10318435
20120709,000000,32.1000000,32.8800000,31.9900000,32.1700000,17033493
20120710,000000,32.4500000,32.4800000,31.1599000,31.4400000,13722927
20120711,000000,31.4800000,31.5600000,30.5500000,30.9500000,11126839
20120712,000000,30.7000000,31.4000000,30.6000000,30.8100000,10999208
20120713,000000,31.0500000,31.0700000,30.5600000,30.7000000,7741199
20120716,000000,30.5000000,30.5000000,28.2100000,28.2601000,23690165
20120717,000000,28.5000000,28.5900000,27.1500000,28.0890000,29547915
20120718,000000,28.3900000,29.2900000,28.1500000,29.1201000,16202793
20120719,000000,29.4100000,29.5000000,28.6300000,29.0050000,13120172
20120720,000000,29.0000000,29.4700000,28.7200000,28.7300000,11174930
20120723,000000,28.1200000,29.0000000,28.0100000,28.7450000,11860940
20120724,000000,28.8200000,29.4500000,28.1000000,28.4400000,10984875
20120725,000000,28.3900000,29.4900000,28.0800000,29.3398000,14257786
20120726,000000,27.7300000,28.2300000,26.7300000,26.9600000,44323816
20120727,000000,23.1900000,24.5400000,22.2800000,23.7100000,110064770
20120730,000000,23.9950000,24.0400000,23.0300000,23.1500000,27121969
20120731,000000,23.3700000,23.3700000,21.6100000,21.6800000,53800594
20120801,000000,21.5400000,21.5800000,20.8400000,20.8800000,42429966
20120802,000000,20.8000000,20.8400000,19.8200000,20.0400000,52942265
20120803,000000,20.3300000,22.1600000,19.9000000,21.0900000,77295632
20120806,000000,21.3500000,22.1500000,21.3000000,21.9201000,26505799
20120807,000000,22.2000000,22.4500000,20.5000000,20.7400000,34447950
20120808,000000,20.7100000,21.1500000,20.2200000,20.7199000,27368312
20120809,000000,20.7500000,21.1700000,20.6100000,21.0050000,14199156
20120810,000000,21.4100000,21.8200000,21.1300000,21.8001000,24291532
20120813,000000,22.1500000,22.4500000,21.4000000,21.5900000,23727610
20120814,000000,21.4100000,21.6000000,20.2500000,20.3650000,37326821
20120815,000000,20.6400000,21.4100000,20.4000000,21.1701000,42971043
20120816,000000,20.4200000,20.4800000,19.6900000,19.8700000,150689462
20120817,000000,20.0000000,20.0800000,19.0000000,19.0700000,106252085
20120820,000000,19.0500000,20.1300000,18.7500000,20.0200000,96768277
20120821,000000,19.5800000,19.9800000,19.0900000,19.1700000,66759381
20120822,000000,19.3500000,19.5300000,18.9600000,19.4301000,47809163
20120823,000000,19.5000000,19.7300000,19.3600000,19.4300000,31144046
20120824,000000,19.5200000,19.6800000,19.2500000,19.4099000,26838097
20120827,000000,19.4900000,19.5300000,19.1000000,19.1500000,19852599
20120828,000000,19.1000000,19.3800000,18.9500000,19.3300000,24912462
20120829,000000,19.3300000,19.3800000,19.0700000,19.1000000,15675400
