<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20101201,000000,25.5700000,26.2500000,25.5600000,26.0500000,67070753
20101202,000000,26.2300000,26.9800000,26.2000000,26.9000000,81938373
20101203,000000,26.8100000,27.0600000,26.7800000,27.0200000,48161325
20101206,000000,26.9400000,26.9800000,26.7600000,26.8400000,33258117
20101207,000000,27.0700000,27.1300000,26.8500000,26.8800000,53360259
20101208,000000,26.8300000,27.2400000,26.8000000,27.2300000,38238097
20101209,000000,27.2900000,27.3400000,27.0100000,27.0900000,43513840
20101210,000000,27.1800000,27.4000000,27.1100000,27.3400000,33693298
20101213,000000,27.2700000,27.4500000,27.1725000,27.2300000,42139024
20101214,000000,27.3100000,27.7500000,27.2600000,27.6300000,59093548
20101215,000000,27.5300000,27.9900000,27.5300000,27.8600000,54290587
20101216,000000,27.8100000,27.9900000,27.6600000,27.9700000,50099410
20101217,000000,27.9300000,28.0900000,27.7500000,27.7500000,51178561
20101220,000000,27.9500000,27.9900000,27.6800000,27.8100000,37691700
20101221,000000,27.8300000,28.1400000,27.7600000,28.0700000,34786957
20101222,000000,27.9900000,28.4000000,27.9800000,28.1800000,37248363
20101223,000000,27.9800000,28.3200000,27.9600000,28.3100000,22972772
20101227,000000,28.1200000,28.2000000,27.8800000,28.0700000,18616011
20101228,000000,27.9800000,28.1700000,27.9600000,28.0200000,20166063
20101229,000000,27.9200000,28.1200000,27.8800000,27.9700000,16603777
20101230,000000,27.9300000,28.0000000,27.7750000,27.8650000,19215364
20101231,000000,27.8100000,27.9100000,27.6300000,27.9100000,20207072
20110103,000000,28.0300000,28.1800000,27.9200000,27.9700000,47397004
20110104,000000,27.9400000,28.1700000,27.8500000,28.0500000,48670848
20110105,000000,27.9100000,28.0100000,27.7700000,28.0000000,54570200
20110106,000000,28.0400000,28.8500000,27.8600000,28.8100000,81837543
20110107,000000,28.6500000,28.7400000,28.2500000,28.5900000,64874440
20110110,000000,28.2600000,28.4000000,28.0400000,28.2100000,50989286
20110111,000000,28.2000000,28.2500000,28.0500000,28.1100000,44882974
20110112,000000,28.1200000,28.5900000,28.0700000,28.5500000,48970068
20110113,000000,28.3300000,28.3900000,28.0100000,28.2000000,60031375
20110114,000000,28.0700000,28.3800000,27.9100000,28.3000000,57045027
20110118,000000,28.1500000,28.7400000,28.1400000,28.6600000,42277912
20110119,000000,28.4500000,28.6800000,28.2700000,28.4700000,43520595
20110120,000000,28.5000000,28.5500000,28.1300000,28.3600000,44820996
