<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20110301,000000,23.9400000,23.9400000,23.9400000,23.9400000,200
20110310,000000,23.9900000,24.0000000,23.8700000,23.9000000,11480
20110316,000000,22.8200000,22.8200000,22.8200000,22.8200000,81873
20110317,000000,23.2400000,23.4200000,22.7300000,22.8100000,52637
20110318,000000,23.0100000,23.0100000,22.8100000,22.9470000,12747
20110324,000000,22.1400000,22.3800000,22.0500000,22.3300000,314737
20110325,000000,22.4300000,23.0000000,22.4000000,22.7500000,451748
20110328,000000,22.7000000,23.5388000,22.5500000,23.2500000,967464
20110329,000000,23.3000000,24.0000000,23.2100000,23.9200000,739344
20110330,000000,24.1100000,24.4900000,23.0100000,23.7100000,1144323
20110331,000000,26.5500000,28.7100000,26.5000000,27.7500000,10089597
20110401,000000,27.4500000,28.1800000,26.5800000,26.6600000,2890064
20110404,000000,26.8300000,27.0000000,25.2300000,25.6100000,2046782
20110405,000000,25.9000000,27.0000000,25.6900000,26.7000000,2836193
20110406,000000,26.9900000,27.0100000,25.8000000,26.4900000,1227954
20110407,000000,26.8500000,27.9400000,26.4501000,27.2400000,2789862
20110408,000000,27.5800000,27.6004000,26.3700000,26.4900000,1823929
20110411,000000,26.4700000,26.5300000,25.0200000,25.2700000,1376207
20110412,000000,25.0800000,25.2100000,24.3000000,24.6500000,1326275
20110413,000000,25.1300000,25.6900000,24.8192000,24.9300000,1157473
20110414,000000,24.8700000,25.2800000,24.2000000,25.1400000,958116
20110415,000000,25.6500000,26.1540000,25.4100000,25.5800000,880430
20110418,000000,25.1300000,25.1300000,24.3600000,24.9200000,382953
20110419,000000,25.2600000,25.2600000,24.6500000,25.1600000,519015
20110420,000000,25.7000000,26.0900000,25.3000000,25.7500000,942467
20110421,000000,25.8500000,26.9800000,25.5901000,26.7400000,1378772
20110425,000000,26.7000000,26.7300000,25.9700000,26.3900000,784492
20110426,000000,26.6600000,27.2300000,26.3100000,26.9300000,1258503
20110427,000000,26.9300000,27.3600000,26.6300000,27.0800000,998908
20110428,000000,27.0700000,27.6900000,26.7200000,27.6600000,1567961
20110429,000000,27.6900000,27.8700000,27.4200000,27.6000000,739139
20110502,000000,27.6000000,27.8000000,27.0600000,27.4500000,763537
20110503,000000,27.3800000,27.3900000,26.5000000,26.8700000,887080
20110504,000000,26.7800000,27.0000000,25.8000000,26.6900000,915556
20110505,000000,27.2000000,27.4400000,26.3800000,26.4400000,751198
20110506,000000,26.9000000,27.7000000,26.6200000,27.1200000,902776
20110509,000000,27.0000000,28.0000000,26.8500000,27.9100000,920307
20110510,000000,28.2400000,28.9500000,27.9100000,28.3300000,1547496
20110511,000000,28.2000000,28.2985000,26.9200000,27.0700000,904673
20110512,000000,27.0400000,27.6400000,26.6500000,27.4800000,241662
20110513,000000,27.5201000,27.5600000,27.5201000,27.5500000,10792
20110516,000000,27.9700000,27.9700000,26.5500000,26.6000000,670381
20110517,000000,27.0000000,27.0000000,25.7200000,25.9600000,1124568
20110518,000000,26.1000000,26.4700000,25.8500000,26.3500000,681964
20110519,000000,27.0000000,28.4400000,26.6000000,28.2000000,2535244
20110520,000000,28.2600000,28.2800000,27.3500000,27.9700000,767195
20110524,000000,27.0100000,27.5000000,26.6000000,26.7200000,562248
20110525,000000,26.9000000,29.0100000,26.1700000,28.9800000,4659861
20110526,000000,28.9100000,29.7600000,28.1000000,29.4800000,3308220
20110527,000000,29.4000000,29.6700000,28.8200000,29.5500000,1624464
20110531,000000,29.7000000,30.2800000,29.5500000,30.1400000,3134615
20110601,000000,30.0000000,30.1000000,28.3800000,28.5200000,1437168
20110602,000000,28.5200000,29.3200000,28.5100000,28.7600000,903880
20110603,000000,29.9400000,31.5000000,29.5000000,30.1300000,5758480
20110606,000000,30.1000000,30.1300000,28.2600000,28.7000000,2289807
20110607,000000,28.9800000,29.3900000,28.2600000,28.3700000,1148042
20110608,000000,28.4100000,28.6000000,27.0200000,27.1200000,1666391
20110609,000000,27.4300000,28.1000000,27.1000000,27.6200000,1564806
20110610,000000,27.5800000,28.2991000,27.3500000,27.8600000,1474124
20110613,000000,28.0020000,28.8800000,27.8800000,28.4300000,1672504
20110614,000000,28.5400000,29.7000000,28.5200000,28.6000000,1487488
20110615,000000,28.4400000,28.4500000,27.0700000,27.3200000,1286224
20110616,000000,27.5100000,28.0000000,25.7400000,26.5000000,1770832
20110617,000000,26.8700000,27.7000000,26.1400000,26.5000000,1653959
20110620,000000,26.2800000,26.4600000,25.5000000,26.0100000,1502518
20110621,000000,26.2300000,27.7300000,26.0000000,27.5300000,1391285
20110622,000000,27.5300000,28.2500000,27.1000000,27.2100000,1465433
20110623,000000,27.2100000,27.7200000,26.2100000,27.7100000,1113791
20110624,000000,27.6900000,27.9700000,27.2600000,27.5650000,2064643
20110627,000000,27.7300000,28.2800000,27.3100000,27.4600000,1063735
20110628,000000,27.7900000,28.2500000,27.6700000,28.1100000,835837
20110629,000000,28.5000000,29.0900000,28.0700000,28.2900000,1316010
20110630,000000,28.6000000,29.3300000,28.4000000,29.1300000,865075
20110701,000000,29.1000000,29.6000000,28.8000000,29.0200000,825149
20110705,000000,29.1900000,29.5200000,28.7100000,29.1400000,966507
20110706,000000,29.1000000,29.1000000,28.5500000,28.9600000,833063
20110707,000000,29.1400000,30.0000000,29.0100000,29.7300000,1282630
20110708,000000,29.8900000,29.8900000,28.5900000,28.8100000,1147857
20110711,000000,28.4000000,28.5300000,28.0000000,28.3500000,929885
20110712,000000,28.3500000,29.0900000,28.0000000,28.1700000,990270
20110713,000000,28.4400000,29.0300000,27.9000000,28.6400000,987478
20110714,000000,28.9600000,28.9600000,27.2500000,27.6100000,1121035
20110715,000000,27.7900000,27.8300000,27.4000000,27.5800000,685824
20110718,000000,27.4000000,27.4500000,26.6300000,27.2300000,842333
20110719,000000,27.6100000,28.1100000,27.5400000,27.8900000,949744
20110720,000000,28.0400000,30.4400000,27.8000000,28.6900000,3024505
20110721,000000,28.9100000,29.1600000,28.1000000,28.7000000,994853
20110722,000000,28.7700000,29.5400000,28.5509000,29.2900000,575094
20110725,000000,29.0000000,29.2500000,28.4400000,28.4900000,635334
20110726,000000,28.4800000,28.7700000,27.9700000,28.0000000,716380
20110727,000000,28.4700000,28.5000000,27.5100000,27.6400000,875528
20110728,000000,27.6000000,28.5500000,27.5400000,28.1700000,904848
20110729,000000,27.8000000,28.4000000,27.5000000,28.1700000,872167
20110801,000000,28.6700000,28.9800000,28.2100000,28.7700000,1007376
20110802,000000,28.7000000,29.2000000,27.2800000,27.3400000,1391295
20110803,000000,27.5000000,27.8300000,26.3360000,27.2000000,1535464
20110804,000000,26.5000000,26.8900000,25.4200000,25.8400000,862558
20110808,000000,23.2200000,24.4250000,23.1000000,23.6400000,1758440
20110809,000000,24.1700000,25.1800000,23.7000000,25.0000000,366870
20110810,000000,25.4000000,25.4260000,23.6300000,23.8200000,1079371
20110811,000000,24.0001000,25.7500000,24.0000000,25.3000000,675484
20110812,000000,25.5100000,27.1400000,25.3600000,26.3100000,958240
20110815,000000,26.5100000,26.7500000,25.9300000,26.2200000,682317
20110816,000000,26.0300000,26.5300000,25.8300000,26.1100000,475209
20110817,000000,26.2400000,26.6500000,25.5100000,25.8300000,579278
20110818,000000,25.0000000,25.1500000,23.4700000,24.2500000,769869
20110819,000000,23.8000000,24.1800000,22.0000000,22.3100000,1159374
20110822,000000,23.1100000,23.8000000,21.6800000,21.9500000,927069
20110823,000000,21.9000000,23.1100000,21.5000000,22.9600000,820482
20110824,000000,23.2000000,23.9300000,22.8300000,23.8500000,632979
20110825,000000,23.8700000,23.8700000,22.9100000,23.0800000,524727
20110826,000000,22.9000000,23.9500000,22.0708000,23.7300000,658094
20110829,000000,24.2200000,24.8500000,24.0200000,24.7600000,752021
20110830,000000,24.5700000,24.7700000,24.1400000,24.6300000,325237
20110831,000000,24.8000000,25.5000000,24.2800000,24.7400000,727076
20110906,000000,22.3900000,23.2000000,22.2900000,22.9300000,713015
20110907,000000,23.4150000,24.0000000,23.2800000,23.8400000,444518
20110908,000000,23.5900000,24.0300000,23.2800000,23.6100000,471485
20110909,000000,23.3700000,23.5700000,22.5500000,23.0100000,607793
20110912,000000,22.5000000,23.3100000,22.4500000,22.8600000,508796
20110913,000000,23.2300000,24.1000000,22.7500000,24.0300000,658253
20110914,000000,24.3356000,24.8400000,23.7900000,24.3400000,769368
20110915,000000,24.5800000,24.9300000,24.3300000,24.8200000,434362
20110916,000000,24.4900000,25.8200000,24.4900000,25.6850000,826767
20110919,000000,24.9500000,25.8000000,23.8200000,25.7700000,1044509
20110920,000000,26.0000000,26.6000000,25.6700000,25.9800000,1035663
20110921,000000,26.0000000,26.9500000,25.7200000,25.7200000,863383
20110922,000000,25.1500000,26.1100000,24.8800000,25.6300000,645000
20110923,000000,25.4200000,26.6200000,25.3500000,26.3800000,1021769
20110926,000000,26.3900000,26.4300000,24.9000000,25.5200000,862464
20110927,000000,26.0000000,26.9900000,25.5700000,26.1900000,630101
20110928,000000,26.1400000,26.5000000,24.5100000,24.5900000,659120
20110929,000000,25.7000000,25.8200000,23.5500000,24.0600000,677531
20110930,000000,24.7900000,24.8900000,23.4900000,24.3900000,1144973
20111003,000000,24.7500000,25.0000000,23.2500000,23.7300000,930136
20111004,000000,23.2523000,24.3200000,22.9300000,23.6600000,959542
20111005,000000,24.0300000,25.8350000,23.3500000,25.3700000,1137444
20111006,000000,25.4800000,27.6000000,25.0200000,26.9600000,1507659
20111007,000000,26.4200000,27.6000000,26.0500000,26.9900000,1054499
20111010,000000,27.3500000,28.1800000,27.0000000,27.8800000,843295
20111011,000000,27.5300000,27.7700000,27.0900000,27.6100000,552130
20111012,000000,27.2500000,28.0000000,27.2000000,27.8000000,994543
20111013,000000,27.7300000,28.4700000,27.4400000,27.7400000,543896
20111014,000000,28.0100000,28.5500000,27.2600000,28.0500000,1352155
20111017,000000,28.0000000,28.0000000,27.2601000,27.4200000,710798
20111018,000000,27.2800000,28.4275000,26.7100000,28.3400000,915358
20111019,000000,28.0600000,28.0600000,27.3000000,27.5700000,762020
20111020,000000,27.3200000,27.4500000,27.0000000,27.2300000,451770
20111021,000000,27.4000000,28.3000000,27.0100000,28.0300000,1077432
20111024,000000,27.8700000,28.8900000,27.7500000,28.5500000,917451
20111025,000000,28.2300000,28.8600000,27.8000000,28.2500000,599137
20111026,000000,28.2487000,28.3700000,27.4000000,27.9800000,481205
20111027,000000,28.3400000,28.9500000,28.1100000,28.6800000,811846
20111028,000000,28.5500000,30.0000000,28.0100000,29.7600000,1137787
20111031,000000,29.5000000,29.5100000,28.7500000,29.3700000,945568
20111101,000000,28.3900000,28.9200000,28.0000000,28.8800000,588578
20111102,000000,29.0650000,29.2600000,28.2500000,28.5400000,772097
20111103,000000,30.0000000,32.4900000,29.5300000,32.4600000,2424231
20111104,000000,31.4900000,32.4000000,30.5100000,32.3100000,2852066
20111107,000000,31.6400000,32.0000000,30.7500000,31.3400000,1096763
20111108,000000,31.4000000,32.0000000,30.7200000,32.0000000,923198
20111109,000000,30.8800000,31.4900000,30.3000000,30.8700000,850157
20111110,000000,30.9400000,31.5000000,30.6500000,31.3700000,661453
20111111,000000,31.9000000,34.5000000,30.5700000,33.6400000,3729726
20111114,000000,33.0000000,33.5400000,32.6200000,33.2200000,1205718
20111115,000000,32.8900000,34.4000000,32.7300000,33.9300000,859145
20111116,000000,33.5000000,35.0000000,33.4029000,34.9300000,1591598
20111117,000000,34.7000000,34.9000000,33.1900000,33.6800000,1301380
20111118,000000,33.7200000,34.1100000,32.5400000,32.6000000,851272
20111121,000000,32.2900000,32.3100000,31.0500000,31.7600000,990223
20111122,000000,31.7600000,32.7900000,31.0500000,32.0700000,708968
20111123,000000,31.7600000,32.0500000,31.2500000,31.4500000,421689
20111125,000000,31.5500000,32.4100000,31.0800000,31.6600000,230196
20111128,000000,32.0000000,33.2800000,31.8100000,32.5600000,653983
20111129,000000,32.4900000,33.0700000,31.6300000,31.7500000,576846
20111130,000000,32.5000000,32.9300000,32.2200000,32.7400000,556688
20111201,000000,32.5700000,33.9900000,31.9800000,32.6000000,954452
20111202,000000,32.8300000,33.6900000,32.4000000,33.3000000,671604
20111205,000000,33.5300000,35.0000000,33.4301000,34.4200000,1044964
20111206,000000,34.1300000,34.9800000,34.0600000,34.8700000,917857
20111207,000000,34.6300000,34.8900000,33.8000000,34.0900000,513031
20111208,000000,30.8400000,31.6500000,29.6100000,30.8900000,3018873
20111209,000000,30.5400000,31.1200000,30.2800000,30.4100000,1210069
20111212,000000,30.4400000,30.6200000,30.0200000,30.4100000,732477
20111213,000000,30.5700000,30.9300000,28.9110000,29.4500000,963913
20111214,000000,29.5000000,29.6800000,28.0000000,28.5300000,1124197
20111215,000000,28.6700000,29.0700000,28.1200000,28.6200000,644301
20111216,000000,28.7900000,28.9300000,28.0000000,28.0000000,685908
20111219,000000,28.0900000,28.5000000,27.3700000,27.7500000,877906
20111220,000000,28.0500000,28.4500000,27.7150000,27.9000000,774620
20111221,000000,27.9100000,28.0700000,26.0300000,27.5700000,1678096
20111222,000000,27.6000000,28.0500000,27.3000000,27.7700000,998824
20111223,000000,28.0000000,28.0000000,27.5200000,27.9000000,593231
20111227,000000,27.6600000,28.7700000,27.6400000,28.5700000,753357
20111228,000000,28.9900000,29.2395000,28.0400000,28.5100000,571445
20111229,000000,28.5900000,29.3400000,28.5490000,28.7300000,473050
20111230,000000,28.4900000,28.9800000,28.2500000,28.5600000,342538
20120103,000000,28.9400000,29.5000000,27.6500000,28.0800000,925290
